日期,机组名称,变动成本电价
2024-01-02,中山228机组,699.18
2024-01-02,惠州238机组,432.97
2024-01-02,广州250机组,432.97
2024-01-02,广州251机组,432.97
2024-01-02,深圳244机组,432.97
2024-01-02,深圳245机组,432.97
2024-01-02,深圳246机组,432.97
2024-01-02,肇庆252机组,699.18
2024-01-02,肇庆253机组,699.18
2024-01-02,惠州239机组,432.97
2024-01-02,惠州240机组,432.97
2024-01-02,深圳249机组,757.44
2024-01-02,深圳241机组,432.97
2024-01-02,深圳242机组,432.97
2024-01-02,深圳243机组,432.97
2024-01-02,韶关159机组,529.55
2024-01-02,阳江74机组,399.66
2024-01-02,阳江75机组,399.66
2024-01-02,韶关38机组,464.39
2024-01-02,佛山32机组,464.39
2024-01-02,潮州89机组,375.87
2024-01-02,潮州90机组,399.66
2024-01-02,惠州48机组,419.33
2024-01-02,惠州49机组,419.33
2024-01-02,佛山33机组,464.39
2024-01-02,韶关39机组,464.39
2024-01-02,云浮101机组,464.39
2024-01-02,惠州50机组,375.87
2024-01-02,江门66机组,375.87
2024-01-02,汕尾55机组,399.66
2024-01-02,惠州51机组,375.87
2024-01-02,揭阳93机组,375.87
2024-01-02,汕尾56机组,399.66
2024-01-02,佛山34机组,442.4
2024-01-02,揭阳94机组,375.87
2024-01-02,湛江78机组,399.66
2024-01-02,湛江79机组,399.66
2024-01-02,佛山35机组,442.4
2024-01-02,江门67机组,375.87
2024-01-02,梅州109机组,534.55
2024-01-02,梅州110机组,534.55
2024-01-02,茂名85机组,442.4
2024-01-02,湛江82机组,419.33
2024-01-02,肇庆104机组,464.39
2024-01-02,湛江83机组,419.33
2024-01-02,肇庆105机组,464.39
2024-01-02,揭阳95机组,399.66
2024-01-02,广州3机组,419.33
2024-01-02,广州4机组,419.33
2024-01-02,广州1机组,419.33
2024-01-02,广州2机组,419.33
2024-01-02,阳江76机组,399.66
2024-01-02,阳江77机组,399.66
2024-01-02,茂名86机组,464.39
2024-01-02,佛山31机组,464.39
2024-01-02,梅州111机组,534.55
2024-01-02,深圳20机组,419.33
2024-01-02,深圳21机组,419.33
2024-01-02,深圳22机组,419.33
2024-01-02,江门68机组,399.66
2024-01-02,江门69机组,399.66
2024-01-02,广州12机组,419.33
2024-01-02,广州13机组,419.33
2024-01-02,广州14机组,419.33
2024-01-02,广州15机组,419.33
2024-01-02,汕头28机组,399.66
2024-01-02,江门70机组,399.66
2024-01-02,江门71机组,399.66
2024-01-02,汕头29机组,419.33
2024-01-02,汕头25机组,375.87
2024-01-02,河源45机组,442.4
2024-01-02,汕头26机组,375.87
2024-01-03,汕尾161机组,370.87
2024-01-03,汕尾162机组,370.87
2024-01-03,韶关164机组,459.39
2024-01-03,惠州235机组,699.18
2024-01-03,江门254机组,699.18
2024-01-03,肇庆256机组,699.18
2024-01-03,肇庆257机组,699.18
2024-01-03,深圳279机组,757.44
2024-01-03,深圳280机组,757.44
