时间,温度,10米水平风速,10米垂直风速,降水,辐照
2024-11-28 17:00:00,288.5643005371094,-2.009364366531372,-4.386105537414551,6.880767067229954e-07,3.599998988149111e-12
2024-11-28 18:00:00,288.4279479980469,-2.04327654838562,-4.481259822845459,0.0,3.599998988149111e-12
2024-11-28 19:00:00,288.3194580078125,-2.10539698600769,-4.605194568634033,0.0,3.599998988149111e-12
2024-11-28 20:00:00,287.7085266113281,-2.282850742340088,-4.743010997772217,0.0,3.599998988149111e-12
2024-11-28 21:00:00,287.6253051757812,-2.484030723571777,-4.851348876953125,0.0,3.599998988149111e-12
2024-11-28 22:00:00,288.1964721679688,-2.225941896438599,-4.718606948852539,0.0,3.599998988149111e-12
2024-11-28 23:00:00,288.1683044433594,-2.401108741760254,-4.66693115234375,0.0,5296.76171875
2024-11-29 00:00:00,288.3551330566406,-2.584203243255615,-4.793261051177979,0.0,266770.0
2024-11-29 01:00:00,288.6601257324219,-2.795311450958252,-4.875425338745117,0.0,878979.6875
2024-11-29 02:00:00,291.9452514648438,-3.328366041183472,-5.119070529937744,0.0,1504041.375
2024-11-29 03:00:00,292.1234130859375,-3.722435474395752,-4.995744705200195,0.0,1991270.75
2024-11-29 04:00:00,292.3164978027344,-3.705896139144897,-4.640911102294922,0.0,2281002.0
2024-11-29 05:00:00,293.7138061523438,-3.604275226593018,-4.28284215927124,2.064230120168986e-06,2333115.75
2024-11-29 06:00:00,293.8535766601562,-3.488109350204468,-3.944772005081177,3.440383533614977e-06,2157080.5
2024-11-29 07:00:00,293.9178161621094,-3.437170267105103,-3.632622241973877,0.0001458722636016319,1769522.25
2024-11-29 08:00:00,293.5047912597656,-3.423125743865967,-3.280630588531494,0.0001424318725185003,1200549.625
2024-11-29 09:00:00,293.3609008789062,-3.239274024963379,-2.744675874710083,0.0001348630291886366,563956.4375
2024-11-29 10:00:00,290.7628479003906,-2.795449018478394,-2.431796550750732,0.0001520649561825849,80930.8203125
2024-11-29 11:00:00,290.543701171875,-2.962714433670044,-2.354105472564697,0.0001782118630444529,3.599998988149111e-12
2024-11-29 12:00:00,290.4528198242188,-2.918372392654419,-2.232454776763916,0.00024220301497734908,3.599998988149111e-12
2024-11-29 13:00:00,290.2978210449219,-2.837532758712769,-2.045568704605103,0.0007155997536756331,3.599998988149111e-12
2024-11-29 14:00:00,289.5047912597656,-2.737043857574463,-2.021641254425049,0.0009578027402312728,3.599998988149111e-12
2024-11-29 15:00:00,289.0419311523438,-2.652518033981323,-2.028648138046265,0.000916518160920532,3.599998988149111e-12
2024-11-29 16:00:00,288.9197692871094,-2.631757259368896,-2.079071521759033,0.001633494093766785,3.599998988149111e-12
2024-11-29 17:00:00,288.3785095214844,-2.633296728134155,-2.100591897964478,0.002366295802858076,3.599998988149111e-12
2024-11-29 18:00:00,288.3844604492188,-2.592811822891235,-2.190658569335938,0.002280286253153463,3.599998988149111e-12
2024-11-29 19:00:00,288.3375244140625,-2.579169273376465,-2.29093074798584,0.002534874511184171,3.599998988149111e-12
