日期,节点名称,数据项,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
2024-01-11,全省,电价,400.0057905892,416.0117295464,402.00532429,390.0,394.74060195,393.3000678253,396.2723314964,390.3261678677,391.0592623993,386.362865621,384.3815175922,376.4561254769,376.4561254769,376.4561254769,376.4561254769,371.5027554048,366.5493853328,361.5960152607,361.5960152607,361.5960152607,366.5493853328,373.4841034337,376.4561254769,386.362865621,400.41587961,416.0954472234,426.0077829589,435.9218228063,449.349147944,454.2493090292,439.5936456125,459.1356506994,468.9230055108,468.9247774481,472.562763883,473.8151208139,480.4214455278,482.9058372192,482.1113141162,490.4955320051,477.7965281899,489.656333192,488.2148707079,490.5017549809,496.0595040271,486.9535905045,450.6253666808,423.4229249682,407.9936583298,407.2263459093,415.6777660025,408.5048622298,423.1996227215,427.2924205172,474.3659983044,483.7582238237,468.6606146672,468.4052055956,470.3177829589,469.8359177618,471.0555489614,480.5703476049,478.3948579907,476.0147265791,471.8268757948,477.5300084782,470.5146502755,475.6215260704,473.4229249682,474.7839041967,459.7840313692,461.2967698177,482.4604493429,478.6891818567,492.9521746503,487.176532429,502.2871640526,543.4714031369,535.2180839339,524.9248876643,524.9248876643,534.201606613,530.0828740992,530.0828740992,511.9399576092,530.0645824502,512.5855235269,483.5391860958,511.9297329377,474.1350529886,467.1876600254,447.2493598983,429.8071640526,410.5876006783,395.6089868588,377.6796863078
2024-01-12,全省,电价,431.5458414582,425.0833615939,421.8535820263,412.195727003,417.02467571,417.02467571,417.3434548538,413.1283170835,412.1625307334,412.1625307334,407.3340101738,402.5050317931,401.5578550233,400.5734421365,392.8327554048,392.9393938109,392.8327554048,387.9857227639,387.9857227639,385.1841797372,387.9856167868,392.865828741,389.135527766,396.8016490038,406.4046799491,421.9266638406,428.0421237813,448.7835438745,470.4391776176,482.6345315812,465.4611784655,493.4242306062,579.8060152607,686.6110216193,705.4392496821,840.5914200933,840.5655574396,831.0331623569,840.1588215345,839.9641543027,705.1600466299,767.6003094532,767.6268122086,777.5487282747,772.6437897414,582.4934124629,466.0110428148,418.275175922,395.5133531157,394.9349554896,400.0913098771,395.3944128868,402.0866384061,414.6588172955,471.4708690123,499.601356507,491.7770156846,472.7950996185,491.6956634167,476.7605849936,518.4364179737,566.8489614243,578.8122212802,579.0068503603,569.7862653667,579.2487240356,567.3167655786,602.4872785078,579.5333615939,564.0590038152,480.2141543027,485.6470199237,551.1091309877,550.3270453582,689.7891776176,600.4403899958,666.6287791437,666.6348537516,662.5493598983,532.6543789741,570.2754641797,566.1927257312,570.2894446799,564.2510343366,496.899097075,485.5087621874,485.4755192878,476.8316913947,458.0723993217,458.3802840187,447.1828868164,423.0349046206,417.8047350572,409.6142560407,391.9630690971,369.8977448071
2024-01-13,全省,电价,437.7839516129,438.1324066214,423.7453904924,414.2221434635,416.7167020374,414.1746179966,418.6877079796,414.5447495756,414.5625976231,409.7827419355,400.2091850594,398.8518845501,395.4292996604,399.2981324278,394.5059677419,394.4726655348,385.8272241087,384.9047962649,384.9047962649,379.9156833616,379.9156833616,375.4192105263,384.4761926995,384.9047962649,392.6618336163,392.6618336163,402.3775594228,412.0931791171,421.8086926995,441.2400466893,439.228573854,464.9631409168,495.5468039049,513.6650679117,521.4016044143,715.4859083192,719.4259889643,775.7856112054,775.5358701188,779.4010229202,619.3913921902,595.9600933786,715.9222156197,575.592614601,610.5638455008,524.2890959253,470.5301910017,430.1128565365,385.9947580645,383.0756621392,389.7883616299,386.0095373514,399.9561842105,417.5763157895,452.2075169779,457.2463455008,449.7008234295,454.4528438031,463.2826358234,463.2826358234,475.4929966044,492.6604371817,494.8358870968,497.5266341256,497.6933488964,501.4694609508,501.0395670628,555.9174660441,589.8880220713,546.3519864177,476.5717190153,478.941417657,503.8386035654,544.3662733447,553.5229202037,505.7770033956,514.7740195246,529.0559465195,543.1111460102,499.2423471986,500.992614601,504.6927504244,494.4968463497,494.4236502547,475.2286757216,466.8865195246,464.6110314092,459.6767699491,444.900229202,454.6063327674,435.2909210526,425.1488327674,418.8854202037,405.7618166384,388.9466850594,375.1660780985
2024-01-14,全省,电价,453.5863412564,449.8181621392,439.3143675722,424.9910356537,434.2728947368,423.4444354839,438.8473217317,432.7933191851,419.7495033956,419.7161290323,414.941672326,414.941672326,414.941672326,408.2667529711,410.0672198642,405.29274618,400.5183234295,400.5183234295,400.0408191851,399.1859295416,398.2401570458,400.6516595925,400.6849830221,404.6294142615,405.6081324278,405.6081324278,410.6826358234,415.8610696095,415.5404456706,420.4135356537,419.9467487267,420.4213837012,440.3041765705,438.3523344652,437.8856833616,447.9498429542,450.1126994907,449.9469057725,447.8816129032,451.4025466893,439.6880517827,439.5553862479,448.9228056027,446.9634295416,448.6278735144,441.8829923599,417.0485993209,391.2871689304,379.978688455,384.6837139219,386.5586205433,386.4120076401,387.928344652,391.3178480475,405.4101612903,405.4204923599,400.7079202037,395.9952589134,400.7079202037,405.4204923599,405.5789855688,435.9767190153,431.2862011885,438.8534295416,439.2982003396,473.2478310696,493.5589855688,502.5656536503,533.3712351443,502.3456706282,488.9935016978,497.0847368421,498.4011417657,503.206672326,489.5574108659,479.7098981324,484.0550424448,484.0550424448,493.6486375212,484.5648726655,488.4487521222,489.5627504244,482.6228565365,498.1680432937,498.9812011885,479.7098981324,479.7098981324,471.1848005093,460.0,453.8108149406,426.1197920204,419.5543505942,419.1681366723,409.3412903226,395.0985950764,380.308696944
2024-01-15,全省,电价,409.7123471986,419.5680348048,412.6887648557,404.7144694397,414.5701570458,410.6475933786,414.3048896435,414.3145713073,414.3048896435,412.3766001698,409.4267826825,409.4267826825,394.8587818336,394.8587818336,385.9295288625,385.0030942275,385.0030942275,375.1474066214,375.1474066214,375.1474066214,375.0773726655,377.1185441426,387.0826443124,392.8876443124,414.50012309,419.427966893,424.3558106961,434.2114983022,444.4624957555,463.7786078098,449.9806239389,464.7641383701,569.1885144312,539.7873089983,567.8880857385,775.4293845501,824.9438242784,771.7913964346,633.3175254669,557.6925764007,527.1648896435,531.6423471986,632.8005348048,561.5353438031,535.1947580645,519.5840152801,438.521188455,435.047270798,363.9167147708,372.1092826825,373.0048556876,372.1089813243,381.6375679117,386.9406748727,435.3285993209,424.2845033956,419.6667062818,424.7763073005,429.6012054329,429.7341595925,449.1008786078,470.9919949066,481.7217487267,482.5610186757,478.2587988115,482.9697453311,489.0783234295,497.5865365025,502.5985016978,483.7288837012,460.2233488964,470.8506578947,475.6408022071,486.3696774194,490.4751867572,480.3609804754,488.8776485569,504.3918293718,494.8761417657,480.2185950764,474.0316893039,472.2103904924,478.3025254669,482.8411460102,473.251655348,464.4722241087,451.3519354839,451.1255730051,431.0758234295,430.6447071307,405.9303480475,390.9755602716,389.8902758913,374.9356409168,349.191417657,340.2206324278
2024-01-16,全省,电价,344.1880305603,379.0736672326,378.9567444822,378.9567444822,378.8330220713,378.6945713073,383.6977801358,378.6945713073,378.6945713073,378.6945713073,378.6945713073,378.6945713073,368.848820034,358.7634550085,358.7634550085,348.7979032258,343.8150212224,340.8252758913,340.8252758913,339.0912266553,339.0912266553,340.8252758913,340.8252758913,348.7979032258,366.8554159593,378.6945713073,378.6945713073,403.1928395586,408.3149660441,423.7504117148,423.6973259762,439.8536417657,463.3936502547,484.793582343,486.4406621392,486.3667232598,473.5571689304,473.1610441426,472.8625509338,471.2178013582,467.6489813243,454.7924660441,454.9921519525,445.9404966044,440.820959253,428.7073471986,408.3377079796,405.3879626486,296.5658701188,315.6067444822,302.7580305603,293.464049236,314.8160993209,318.0641935484,395.4713582343,376.6156833616,376.6156833616,378.313565365,380.4740662139,405.4525212224,412.3723938879,420.1874193548,430.3978395586,431.2383828523,429.6816001698,434.0263582343,447.7587988115,459.6166383701,459.6166383701,469.5564558574,443.3135059423,444.0527334465,467.6486417657,481.2376994907,482.0416256367,477.2660908319,477.0626103565,481.8550721562,477.4916213922,477.0626103565,477.0623556876,477.1948556876,477.1945033956,476.2773981324,467.1565789474,452.3631748727,452.0318293718,442.2793505942,431.6666383701,441.2277122241,426.8822835314,406.793917657,401.7714134126,390.6217232598,371.6386247878,351.5500551783
2024-01-17,全省,电价,362.91427905,400.0583121289,394.083884648,383.5654580153,392.8141603053,379.7724936387,379.2877268872,379.2877268872,379.2877268872,379.2877268872,374.2970229008,377.2915988126,363.4374300254,359.3252926209,354.3347879559,349.3437828668,341.3587701442,339.3627014419,339.3627014419,336.4810474979,339.3627014419,336.4810220526,344.3533375742,354.3347879559,370.3045716709,392.2729304495,399.2501611535,409.8995631891,415.1503011026,425.4132994063,432.0342578456,448.2897794741,474.2815521628,480.3625487701,478.1803816794,475.3588634436,462.0090585242,453.3524597116,454.0030322307,454.0030322307,456.9792111959,452.637446989,465.6148727735,460.30456743,452.7558948261,442.662913486,426.9451696353,390.1425360475,316.1146692112,340.1245419847,340.1245419847,329.7666793893,345.5048091603,370.1350593723,408.1490245971,401.8068787108,397.6881424936,405.6603053435,410.2077141645,410.2077141645,420.3316072943,425.3356446141,432.6020907549,445.5487022901,438.8286259542,448.8365606446,467.489245123,470.4848134012,470.0813019508,465.0283163698,441.1495971162,451.6158312129,469.9468914334,479.9423918575,479.9423918575,474.9449915182,479.9423918575,479.9423918575,479.9486005089,474.9528965225,474.9528965225,474.9541178965,474.9905937235,475.0,469.0,470.0,453.66,450.0,440.0,440.1398854962,430.0,420.0,415.0,405.0,390.0,374.0
2024-01-18,全省,电价,380.0,400.0,399.0,390.0,395.0,392.11,395.0,399.0,390.0,390.0,381.23,381.23,380.0,380.0,380.0,380.0,370.0,370.0,370.0,370.0,370.0,371.0,380.0,380.0,395.0,400.0,400.0,415.0,415.0,430.0,438.0,465.0,480.0,499.2803180662,499.2062256149,527.8303392706,489.538884648,486.4584478372,489.1225742154,479.5545716709,474.4804877014,478.8297582697,478.8297582697,483.5278541137,486.0460814249,460.6392239186,437.0156955047,392.767807464,367.4735029686,366.4743299406,356.8288422392,356.8288422392,366.4728456319,369.7483206107,401.4594359627,395.385538592,395.3844147583,395.3841136556,400.2062086514,413.9276717557,415.7148006785,425.9992281595,435.6325148431,449.5967217981,459.5965903308,471.8804410517,489.1045038168,498.3886895674,479.5696437659,474.608307888,460.9522391858,459.6871077184,474.6349363868,484.5780831213,486.5622688719,479.6175699746,480.6140924512,484.5781085666,479.6175699746,479.6175699746,479.6175699746,479.6175402884,479.6175402884,474.6349363868,469.6523070399,468.6558057676,463.0,465.0,445.0,450.0,430.0,420.0,415.0,408.0,398.11,380.0
2024-01-19,全省,电价,400.0,424.255322307,419.786259542,411.8369211196,414.8015267176,409.7844020356,409.7733927057,409.713452078,409.7733927057,407.9031679389,402.9297667515,402.9297667515,397.9559160305,397.9559160305,388.1179601357,385.4870101781,378.5586895674,378.0611407973,378.0611407973,378.0611407973,378.0611407973,378.0611407973,378.0611407973,388.0085029686,397.9643765903,407.9134860051,407.9134860051,417.8625954198,417.8625954198,433.5523409669,439.7506361323,463.6101102629,487.978163698,691.3050169635,566.5189016115,487.7729304495,525.2449151824,515.8297243427,543.1334775233,516.5353689567,507.0889821883,556.8230195081,534.9962637829,506.7265945717,509.2231340119,484.0621119593,434.9612807464,381.9500424088,353.4499406277,370.4342620865,361.070648855,358.7050169635,370.2561450382,379.9997582697,409.2304877014,411.9763952502,411.9763952502,411.9763952502,416.7261068702,416.7275826972,427.3454283291,442.0038676845,449.0208396947,464.6016581849,474.4221840543,492.3528795589,492.9274130619,491.506726039,488.6974215437,487.9683375742,463.3173240034,464.5702205259,474.6782230704,490.954927905,490.954927905,481.2423155216,480.8569974555,486.9945419847,482.0666284987,477.1390458015,471.3870822731,475.6845377439,464.5807718405,470.3172985581,460.3108142494,465.2412468193,450.2335581001,451.8460474979,430.0705004241,437.9419126378,418.8972434266,411.8783672604,406.9370016964,396.8379177269,377.2335029686,367.4689482612
2024-01-20,全省,电价,388.0060899067,422.8217726887,410.8851738762,407.9012256149,407.9012256149,402.9276335878,407.9012256149,405.9119380831,405.1249363868,402.9276335878,397.9542917727,397.9542917727,389.0427989822,387.9232866836,384.9762765055,378.0154283291,378.0154283291,378.0154283291,378.0154283291,373.0196310433,370.0307845632,375.0179728584,378.0154283291,378.1153774385,388.0068787108,388.0068787108,395.6557718405,402.9276335878,404.7873112807,419.7137616624,419.7137616624,429.8931043257,449.9727947413,498.6993935539,497.6802629347,497.51456743,497.2658693808,516.028129771,496.7392578456,515.5311068702,495.7491687871,514.8719889737,508.7532400339,484.2756361323,495.5539058524,476.4314461408,434.0569168787,415.6125106022,396.4393087362,406.0750339271,395.3830449534,390.5652841391,395.3830449534,400.1993341815,433.9701611535,432.7802459712,428.2560559796,440.6934266327,446.2651993215,446.337374894,450.8532866836,469.6748685327,457.6402332485,472.5321882952,452.8296183206,488.1617302799,520.6035411366,535.1113443596,545.1163825276,537.5989440204,498.9030067854,488.4165055131,498.9405258694,498.9405258694,489.1687616624,469.7603138253,479.954605598,474.8765903308,475.8341645462,469.8057972858,464.0281128075,469.8146734521,469.7410771841,469.8930873622,459.9034944869,459.9023791349,459.4483545377,452.0009796438,456.8496183206,456.378452078,446.353346056,430.6273706531,411.8792027142,406.7402374894,397.9531594572,383.0330916031
